player_key,player_name,team_committed,deal_value,deal_count,sport_name,player_state,player_position,player_class_year
112327.0,Thomas Gordon,Northwestern,,1,Football,TX,TE,2019.0
112330.0,Thomas Gore,Georgia Tech,,1,Football,TN,DL,2019.0
112357.0,Thomas Kithier,Michigan State,,1,Basketball,MI,PF,2018.0
112524.0,Thomas Zsiros,Toledo,,1,Football,OH,WR,2021.0
112574.0,Tiaoalii Savea,Arizona,,1,Football,NV,DL,2021.0
112576.0,Tiawan Mullen,Indiana,,1,Football,FL,CB,2019.0
112592.0,Tiger Bachmeier,BYU,,6,Football,CA,WR,2023.0
112743.0,Tim Keenan,Alabama,,2,Football,AL,DL,2021.0
112947.0,Timothy Dawn,Arkansas,,1,Football,AR,IOL,2022.0
112964.0,Timothy McKay,NC State,,4,Football,NC,OT,2019.0
113010.0,Tirek Austin-Cave,New Mexico,,1,Football,NJ,LB,2020.0
113068.0,TJ Bamba,Oregon,,1,Basketball,CO,SG,2020.0
113084.0,T.J. Crandall,Oregon State,,1,Football,WA,CB,2023.0
113090.0,T.J. Dottery,Ole Miss,,1,Football,AL,LB,2022.0
113095.0,TJ Finley,Georgia State,,4,Football,LA,QB,2020.0
113098.0,TJ Franklin,Baylor,,1,Football,TX,DL,2019.0
113105.0,TJ Guy,Michigan,,1,Football,MA,EDGE,2021.0
113126.0,T.J. Metcalf,Michigan,,1,Football,AL,S,2023.0
113148.0,T.J. Shanahan,Penn State,,1,Football,FL,IOL,2023.0
113149.0,TJ Sheffield,Connecticut,,1,Football,TN,WR,2019.0
113175.0,TK Chimedza,Georgia Tech,,1,Football,FL,DL,2018.0
113220.0,Tobias Merriweather,Utah,,3,Football,WA,WR,2022.0
113225.0,Tobias Raymond,USC,,1,Football,CA,OT,2023.0
113231.0,Tobin Phillips,Stanford,,4,Football,CA,DL,2020.0
113485.0,Tomari Fox,North Carolina,,1,Football,GA,DL,2019.0
113488.0,Tomarion Harden,UCLA,,1,Football,CA,RB,2022.0
113490.0,T.J. Parker,Clemson,,1,Football,AL,EDGE,2023.0
113496.0,Tomas Rimac,Virginia Tech,,1,Football,OH,IOL,2021.0
113555.0,Tommy Brockermeyer,TCU,,1,Football,TX,OT,2021.0
113557.0,Tommy Brown,Colorado,,6,Football,CA,OT,2018.0
113583.0,Tommy Doman,Florida,,1,Football,MI,P,2021.0
113784.0,Tony Bradford,Texas Tech,,3,Football,TX,DL,2019.0
113875.0,Tony Grimes,Purdue,,2,Football,VA,CB,2020.0
113906.0,Tony Livingston,Florida,,4,Football,FL,TE,2022.0
